CGV,지역내총생산,전체인구수,평균 지역내총생산,10대 인구수,20대 인구수,30대 인구수,40대 인구수,인구밀도,스타벅스,맥도날드,지하철역,버스정류장,박물관,미술관,체육시설,상영관수,,,,,,,,,
용산아이파크몰,1.2696E+13,230040,55190401.67,35609,73485,38069,35698,10852,9,6,3,22,1,1,23,21,,,,,,,,,
강변,6.587E+12,342812,19214613.26,24708,61623,54767,50232,20810,7,5,3,15,0,2,15,12,,,,,,,,,
영등포점,3.6095E+13,379480,95117002.21,24278,59076,69245,56438,16331,6,5,2,15,0,0,17,12,,,,,,,,,
구로,1.49E+13,405075,36783311.73,28941,53638,60529,60881,20186,5,5,1,15,0,0,8,10,,,,,,,,,
대학로,3.3781E+13,149384,226135329.1,21013,53416,19943,22231,6431,5,4,1,12,1,1,9,10,,,,,,,,,
신촌아트레온,8.652E+12,308419,28052746.43,28581,54584,45307,48931,17309,4,4,1,13,0,0,10,10,,,,,,,,,
왕십리,1.2168E+13,284735,42734472.4,23474,44367,48540,46448,16945,4,4,1,12,0,0,10,10,,,,,,,,,
불광점,4.92E+12,479835,10253524.65,28676,67058,68502,76628,16061,4,4,1,11,0,0,11,9,,,,,,,,,
수유,3.284E+12,308055,10660434.01,20538,40668,36469,43206,13583,4,3,0,11,1,0,10,9,,,,,,,,,
여의도점,3.6095E+13,379480,95117002.21,24278,59076,69245,56438,16331,3,3,2,10,0,2,9,9,,,,,,,,,
등촌,1.7459E+13,573531,30441249.03,23059,85077,97587,89082,14444,3,3,2,10,1,1,10,8,,,,,,,,,
목동점,7.125E+12,454251,15685160.85,20872,59774,57820,78993,25882,3,2,1,9,3,0,10,8,,,,,,,,,
송파점,2.9963E+13,667960,44857476.5,20068,94119,51590,69299,27599,3,2,1,9,0,2,8,8,,,,,,,,,
강남,7.1853E+13,533286,134736332.8,20181,68788,76894,97415,13778,3,2,2,8,0,3,7,7,,,,,,,,,
방학,3.405E+12,334165,10189577.01,22138,44691,46906,54900,15332,3,1,1,8,0,0,8,7,,,,,,,,,
상봉,4.742E+12,394702,12014127.11,16759,56152,58124,57883,21188,3,1,1,7,0,1,9,7,,,,,,,,,
중계,6.621E+12,523037,12658760.28,19305,69635,62650,80857,14417,2,1,1,8,0,1,8,7,,,,,,,,,
동대문,5.3823E+13,125240,429758863,16773,18586,20107,18011,13231,2,1,2,6,1,2,6,6,,,,,,,,,
미아,3.284E+12,308055,10660434.01,17538,40668,36469,43206,13583,2,1,1,6,0,0,6,6,,,,,,,,,
압구정,7.1853E+13,533286,134736332.8,17181,68788,76894,97415,13778,2,1,1,5,2,4,5,6,,,,,,,,,
연남,1.9943E+13,363741,54827473.39,19114,57795,67409,62053,15468,2,1,1,6,0,2,8,6,,,,,,,,,
천호,9.349E+12,459970,20325238,18765,59508,70080,74898,18795,2,1,0,6,0,0,7,6,,,,,,,,,
청담씨네시티,7.1853E+13,533286,134736332.8,16181,68788,76894,97415,13778,1,1,1,6,2,4,9,6,,,,,,,,,
